Entity Name,Alternative Name,Type,Tag
Prophecy regarding Bayan,,,No
Prophecy regarding Bayan,,"/Proques/, the word",No
Prostitutes,,,No
Prostitutes,,Kinsay,No
Provinces,,thirty-four of Kúblái’s Empire,No
Pseudo–Callisthenes,,,No
Ptolemies’ trained African elephants,,,No
Ptolemy,,,No
Ptolemy,,Sarmatic Gates,No
P’u-chau fu,,,No
Pu-ch’eng,,,No
Puer and Esmok,,,No
Pukan Mien–Wang,,,No
Pulad Chingsang,,,No
Pulisanghin,,River and Bridge,Location
Pulo Bras,,,No
Pulo Nankai,,or Nási,No
Pulo Wé,,"Wai, or Wey",No
Punnei-Káyal,,,No
Puránas,,the,No
Puránas,,"/Purpura/, see /Pourpre/",No
Putchok,,,No
Putu-ho,,“Grape R.”,No
Pygmies,,factitious (?),No
Pygmies,,,No
Qal’ah Asgher,,hot springs at,No
Qara Ars-lán Beg,,king of Kermán,Person
Quails in India,,,No
Queen of Mutfili,,,No
Quicksilver and sulphur potion,,,No
Quicksilver and sulphur potion,,—— as regarded by alchemists,No
Quills of the Ruc,,/see/ Ruc,No
Quilon,,"Kaulam, etc., /see/ Coilum",Location
Qumadin,Camadi,,Location
Qumadin,,,Location
Rabelais,,,No
Rabbanta,,a Nestorian monk,Person
Radloff,,Dr. W.,Person
Radloff,,map,Person
Ráin,,,No
Rainald,,"of Dassel, Archbishop",No
Rain-makers,,/see/ Conjurers,No
Rainy season,,,No
Rajkot ,,leather-work,Location
Rakka,,Rákshasas,No
Rama Kamheng,,king,Person
Rameshwaram,,,Location
Ramnad,,,No
Rampart of Gog and Magog,,,No
Ramusio,,"Giov. Battista, /passim/",Person
Ramusio,,his biographical notices of Polo,Person
Ramusio,,his edition of Polo,Person
Ráná Paramitá‘s Woman Country,,,No
Ranking,,John,No
Raonano–Rao,,,No
Rapson,,E.J,No
Ras Haili,,,No
Ras Haili,,—— Kumhari,No
Rashíduddín,,"/alias/ Fazl-ulla Rashid, Persian statesman and",Person
Rashíduddín,,historian of the Mongols,Person
Rashíduddín,,frequently quoted in the Notes,Person
Ravenala tree,,,No
Raw meat eaten,,,No
Rawlinson,,Sir H,Person
Reclus,,/Asie russe/,No
Reclus,,on Caspian Sea fisheries,No
Red gold and red Tangas,,,No
Red gold and red Tangas,,/Re Dor/,No
Red Sea,,trade from India to Egypt by,Location
Red Sea,,described in some texts as a river,Location
Red Sea,,possible origin of mistake,Location
Red sect of Lamas,,,No
Refraction,,abnormal,No
Refraction,,"/Reg Ruwán/, of Kabul",No
Refraction,,—— of Seistán,No
Reindeer ridden,,,No
Religion,,indifference of Chinghizide Princes to,No
Religion,,occasional power of among Chinese,No
Remission of taxation by Kúblái,,,No
Rennell,,Major James,No
Reobarles,Rúdbár,etc.),Location
Revenue of Kinsay,,,No
Rhinoceros ,,in Sumatra,No
Rhinoceros ,,habits,No
Rhinoceros ,,four Asiatic species,No
Rhinoceros ,,—— /Tichorinus/,No
Rhins,,Dutreuil de,No
Rhubarb,,/Rheum palmatum/,No
Riant,,Comte,No
Ricci,,Matteo,No
Rice,,,No
Rice-wine,,,No
Rice-wine,,at Yachi,No
Rice-wine,,—— trade on Grand Canal,No
Richard II,,,Person
Richthofen,,Baron F. von,No
Richthofen,,on Fungul,No
Richthofen,,on Tanpiju,No
Right and Left,,ministers of the,No
Rio Marabia,,,Location
Rio Marabia,,/Rishis/ (Eremites) of Kashmir,Location
Rio Marabia,,“River of China”,Location
Roads radiating from Cambaluc,,,No
Robbers in Persia,,,No
Robbers’ River,,,Location
Robes distributed by Kúblái,,,No
Roborovsky,,Lieutenant,Person
Rochefort,,“faire la couvade”,No
Rockets,,,No
Rockhill,,,No
Rockhill,,"on the titles Khan, Khatun, etc.",No
Rockhill,,on horn horse-shoes,No
Rockhill,,earliest mention of name Mongol in Oriental works,No
Rockhill,,Mongol storm-dispellers,No
Rockhill,,charge of cannibalism against Tibetans,No
Rockhill,,on Bonbo Lamas,No
Rockhill,,Tablets (/hu/),No
Rockhill,,mechanical contrivances at E. Court,No
Rockhill,,Mongol etiquette,No
Rockhill,,Chinese leather-money,No
Rockhill,,Mongol post-stations,No
Rockhill,,pocket-spittoons,No
Rockhill,,from Peking to Si-ngan fu,No
Rockhill,,descent of Yellow River,No
Rockhill,,road between T’ung-kwan and Si-ngan fu,No
Rockhill,,two famous Uigur Nestorians,No
Rockhill,,on the word Salar,No
Rockhill,,on the Hui-hui sects,No
Rockhill,,on the Alan,No
Rockhill,,on branch of Volga Bulgars,No
Rofia palm,,,No
Rofia palm,,/Roiaus dereusse/ (?),No
Rome,,the Sudarium at,No
Rome,,"/Rondes/, ingenious but futile explanation of",No
Rome,,"/Rook/, in Chess",No
Rori–Bakkar,,Sepoy name for Upper Sind,No
Rosaries,,Hindu,No
Rostof and Susdal,,"Andrew, Grand Duke of",No
Roth,,"H. Ling, on /couvade/",No
Rouble,,,No
Roxana,,"daughter of Darius, wife of Alexander",Person
Roze de l’Açur,,,No
Rubies,,Balas,No
Rubies,,of Ceylon,No
Rubies,,of Adam’s Peak,No
Rubruquis,,"or Rubruc, Friar William de",No
Ruby mines in Badakhshan,,,No
Ruc,Rukh,"or Gryphon, bird called, described",No
Ruc,,its feathers and quills,No
Ruc,,wide diffusion and various forms of fable,No
Ruc,,eggs of the Aepyornis,No
Ruc,,Fra Mauro’s story,No
Ruc,,"genus of that bird, condor",No
Ruc,,discovery of bones of /Harpagornis/ in New Zealand,No
Ruc,,"Sindbad, Rabbi Benjamin, romance of Duke Ernest",No
Ruc,,Ibn Batuta’s sight of Ruc,No
Ruc,,rook in chess,No
Ruc,,various notices of,No
Rúdbár-i-Lass,,Robbers’ River,Location
Rúdbár-i-Lass,,"—— (Reobarles), district and River",Location
Rudder,,"single, noted by Polo as peculiar",No
Rudder,,"double, used in Mediterranean",No
Rúdkhánah-i-Duzdi,Robbers’ River,,Location
Rúdkhánah-i-Shor,Salt River,,Location
Rudra Deva,,King of Telingana,Person
Rudrama Devi,,Queen of Telingana,Person
Rukh,,Shah,Person
Rukhnuddin,,"Mahmud, Prince of Hormuz",Person
Rukhnuddin,,—— Masa’úd,Person
Rukhnuddin,,"—— Khurshah, son of Alaodin, Prince of the Ismaelites",Person
Rúm,,,No
Runiz,,,No
Ruomedam–Ahomet,,King of Hormuz,Person
Rupen,,"Bagratid, founder of Armenian State in Cilicia",No
Rupert,,Prince,Person
Rüppell’s Table of Abyssinian kings,,,No
Russia,Rosia,annexes Georgia,Location
Russia,,"great cold, Arab accounts of",Location
Russia,,silver mines,Location
Russia,,subject to Tartars,Location
Russia,,conquered by Batu,Location
Russia,,—— leather,Location
Russia,,clothes of,Location
Russians,,trusty lieges of king,No
Rusták,,,No
Rusticiano of Pisa,,,Person
Rusticiano of Pisa,,introduces himself in prologue,Person
Rusticiano of Pisa,,writes down Polo’s book,Person
Rusticiano of Pisa,,extracts and character of his compilation,Person
Rusticiano of Pisa,,his real name,Person
Rusticiano of Pisa,,his other writings,Person
Ruysch’s map,,,No
Ruysch’s map,,,No
Saadi,,,No
Saba,"Sava,Savah",city of the Magi,Location
Sabaste,,/see/ Sivas,Location
Sable,,its costliness,No
Sabreddin,,,No
Sabzawur,,,No
Sachiu,Sha-chau,,No
Sacrifices of people of Tangut,,,No
Sacrifices of people of Tangut,,—— human,No
Sacrifices of people of Tangut,,"/Sadd-i-Iskandar/, rampart of Alexander",No
Saffron,,fruit-serving purposes of,No
Sagacity of sledge-dogs,,,No
Sagamon Borcan,,/see/ Sakyamuni Buddha,Person
Sagatu,,general of Kúblái’s,Person
Saggio ,,,No
Sago,,,No
Saianfu,,/see/ Siang-yang-fu,Location
Saif Arad,,king of Abyssinia,Person
Saifuddin Nazrat,,ruler of Hormuz,Person
Saimur,Chaul,,No
Sain Khan, Batu,,Person
St. Anno of Cologne,,,No
St. Barlaam and St. Josafat,,story of Buddhist christianised,No
St. Barsauma,,"Brassamus), and monastery of",No
St. Blasius ,,Church at Sivas,No
St. Brandon,,,No
St. Buddha,,,No
St. Epiphanius,,,No
St. George,,"Church of, in Sivas",No
St. George,,at Quilon,No
St. Helena,,,No
St. James’ Shrine,,Gallicia,No
St. John the Baptist,,"Church of, in Samarkand",No
St. John the Baptist,,—— Major Oliver,No
St. Leonard’s Convent in Georgia,,and the fish miracle,No
St. Lewis,,,No
St. Lewis,,his campaign on the Nile,No
St. Martin,,"Vivien de, Map",No
St. Mary’s Island,,Madagascar,No
St. Matthew,,Monastery near Mosul,No
St. Matthew’s Gospel,,story of the Magi,No
St. Nina,,,No
St. Sabba’s at Acre,,,No
St. Thomas,,the Apostle,No
St. Thomas,,his shrine in India,No
St. Thomas,,"his murderers, and their hereditary curse",No
St. Thomas,,reverenced by Saracens and heathen,No
St. Thomas,,miracles in India,No
St. Thomas,,story of his death,No
St. Thomas,,tradition of his preaching in India,No
St. Thomas,,translation of remains to Edessa,No
St. Thomas,,King Gondopharus of legend a real king,No
St. Thomas,,Roman Martyrology,No
St. Thomas,,the localities,No
St. Thomas,,alleged discovery of reliques,No
St. Thomas,,the Cross,No
St. Thomas,,church ascribed to,No
St. Thomas,,in Abyssinia,No
St. Thomas’s Isle,,,No
St. Thomas’s Isle,,—— Mounts,No
Saker falcons,,,No
Sakta doctrines,,,No
Sakya Muni,Sagamon Borcan,,Person
Sakya Muni,,death of,Person
Sakya Muni,,recumbent figures of,Person
Sakya Muni,,story of,Person
Sakya Muni,,his footmark on Adam’s Peak,Person
Sakya Muni,,"Alms dish, Holy Grail",Person
Sakya Muni,,tooth relique,Person
Salamander,,the,No
Salar,Ho-chau,,No
Salem,,"dragoman, explores Rampart of Gog",No
Salghur,,Atabegs of Fars,No
Sálih,,"Malik, son of Badruddin Lúlú",Person
Salsette ,,Island,Location
Salt,,"H., his version of Abyssinian chronology",No
Salt,,—— rock,No
Salt,,in Badakhshan,No
Salt,,used for currency,No
Salt,,extracted from deep wells,No
Salt,,in Carajan province,No
Salt,,manufactured in Eastern China,No
Salt,,"manufacture, revenue and traffic in",No
Salt,,trade on the Kiang,No
Salt,,junks employed therein,No
Salt,,—— stream,No
Salwen ,Lu–Kiang ,River,Location
Samagar,,,No
Samána,,,No
Samara,,"kingdom of, /see/ Sumatra",Location
Samarkand,Samarcan,,Location
Samarkand,,story of a miracle at,Location
Samarkand,,colony near Peking from,Location
Sampson,,"Theos., on grapes in China",No
Sampson,,/Sámsúnji Báshi/,No
Samudra,,/see/ Sumatra,No
Samuel,,his alleged tomb at Sávah,Person
San Giovanni Grisostomo,,,Person
San Giovanni Grisostomo,,parish in Venice where the Ca’ Polo was,Person
San Giovanni Grisostomo,,theatre,Person
San Lorenzo,,"Venice, burial place of Marco and his father",Location
Sandu,,/see/ Chandu,Location
Sanf,,/see/ Champa,Location
Sangín,,Sangkan River,Location
Sanglich,,dialect of,Location
Sang–Miau,,tribe of Kwei-chau,Location
Sangon,,the Title (Tsiang-kiun),No
Sanitary effects of Mountain air,,,No
Sanjar,,sovereigns of Persia,Location
Sankin Hoto,,Dalai,Person
Sanuto of Torcelli,,Marino,No
Sanuto of Torcelli,,his World Map,No
Sanuto of Torcelli,,on long range,No
Sappan wood,,/see/ Brazil,No
Sapta–Shaila,,,No
Sapurgan,Sabúrkán,"Shabúrkán, Shibrgán)",Location
Sapurgan,,"/Saputa, Sçue/, peculiar use of",Location
Saracanco,Saraichik,on the Yaik,No
Saracens,,/see/ Mahomedans,No
Sarai,Sara,capital of Kipchak,Location
Sarai,,city and its remains,Location
Sarai,,perhaps occupied successive sites,Location
Sarai,,—— Sea of (Caspian),Location
Sarai,,"/Sáras/, crane (/Grus antigone/)",Location
Saratov,,,No
Sarbizan Pass,,,No
Sardines,,,No
Sárdú Pass,,,No
Sarghalan ,,River,Location
Sarha,,Port of Sumatra,Location
Sarhadd River,,,Location
Sar-i-kol,,Lakes,Location
Sarsáti,,,No
Sartak,,the Great Khan’s ambassador to Húlakú,No
Sassanian dynasty,,,No
Sati,,/see/ Suttee,No
Satin,,probable origin of word,No
Satin,,"/Saum, Sommo/",No
Satin,,silver ingots used in Kipchak,No
Satin,,apparently the original rouble,No
Satin,,/Sauromatae/,No
Sávah,Saba,,Location
Savast,Siwas,,Location
Scanderoon,,Gulf of,Location
Scasem,,,No
Scherani,,bandits,No
Schiltberger,,Hans,No
Schindler,,General Houtum-,No
Schlegel,,Dr. G,Person
Schmidt,,Professor I.J,NP
Schönborn,,Carl,No
Schuyler,,Eugene,No
Scidmore,,"Miss E., on the Tide",No
Scotra,,/see/ Socotra,Location
Sea of Chin,,,Location
Sea of Chin,,—— England,Location
Sea of Chin,,"—— Ghel, or Ghelan",Location
Sea of Chin,,—— India,Location
Sea of Chin,,—— Rochelle,Location
Sea of Chin,,—— Sarain,Location
Seal,,Imperial,No
Sebaste,,/see/ Sivas,No
Sebourc,,"Bauduin de, /see Bauduin de Sebourc/",No
Sees of Latin Church,,,No
Sees of Latin Church,,—— Nestorian Church,No
Sefavíehs,,the,No
Seilan,,/see/ Ceylon,Location
Self-decapitation,,,No
Selitrennoyé Gorodok,Saltpetre Town,,Location
Seljukian dynasty,,,No
Seljukian dynasty,,—— Turks,No
Seljukian dynasty,,"/Selles, chevaux à deux/, the phrase",No
Semal tree,,,No
Semedo,,,No
Semenat,,/see/ Somnath,Location
Sempad,,"Prince, High Constable of Armenia",Person
Sendal,,a silk texture,No
Sendal,,"/Sendaus/, generally Taffetas",No
Sendemain,,king of Seilan,Person
Seneca,,/Epistles/,No
Senecherim,,king of Armenia,Person
Seni,,Verzino,No
Seni,,/Senshing/,No
Sensin,,"ascetics, devotees living on bran",No
Sentemur,,,No
Sepulchre of Adam,,/see/ Adam’s Sepulchre,No
Sepulchre of Adam,,—— of our Lord,No
Sepulchre of Adam,,oil from,No
Serano,,Juan de,No
Serazi ,Shíráz,kingdom of Persia,Location
Serendib,,,No
Serendib,,"/Seres/, /Sinae/",No
Serendib,,their tree wool,No
Serendib,,ancient character of the,No
Serpents,,"great, i.e. alligators",No
Sertorius,,,No
Sesamé,,,No
Sesamé,,"/Sesnes/, mediaeval form of /cygnet/, /cigne/",No
Sesamé,,"/Seta Ghella/, /seta Leggi/ (Ghellé), silk",No
Seth’s mission to Paradise,,,No
Sevan Lake,,,Location
Seven Arts,,the,No
Severtsoff,,shoots the /Ovis Poli/,No
Severtsoff,,on the name Bolor,No
Seyyed Barghash,,Sultan of Zanzibar,Person
Shabankara,"Shawankára,Soncara",,Location
Shabar,,son of Kaidu,Person
Sha-chau,Sachin,“Sand-district”,Location
Shadow,,augury from length of,No
Shah Abbas,,,Person
Shah Abbas,,his Court,Person
Shah Abbas,,—— Jahan,NP
Shahr-i-Babek,,turquoise mine at,No
Shahr-i-Nao,Siam,,No
Shahr Mandi,,or Pandi,Location
Shah Werdy,,last of the Kurshid dynasty,No
Shaibani Khan,,,Person
Shaibani Khan,,/Shaikh-ul-Jibal/,Person
Shaikhs,Esheks,in Madagascar,No
Shakespeare,,on relation of gold to silver,No
Sháliát,,,No
Shamanism,,,No
Shampath,,ancestor of Georgian kings,No
Shamsuddin Shamatrani,,,No
Shamuthera,,/see/ Sumatra,Location
Shan,Laotian,or /Thai/),No
Shan,,—— race and country,No
Shan,,—— dynasty in Yun-nan,No
Shan,,—— ponies,No
Shan,,"—— state of Pong, /see/ Pong",No
Shanars of Tinnevelly,,,No
Shanars of Tinnevelly,,their devil-worship,No
Shang-hai,,,No
Shangking–Fungking,,,No
Shangtu,"Shangdu,Chandu",,Location
Shangtu,,Kúblái’s City and Summer Palace,No
Shangtu,,Dr. Bushell’s description of,No
Shangtu,,Kúblái’s annual visit to,No
Shangtu Keibung,,,No
Shan-hai-kwan,,,No
Shankárah,"Shabankára,Soncara",,Location
Shan-si,,,No
Shan-tung,,,No
Shan-tung,,silk in,No
Shan-tung,,pears from,No
Shao-hing-fu,,,No
Shao-ling,,pariah caste of,No
Sharakhs,,,No
Shara-ul-buks,,,No
Sharks and shark charmers,,,No
Shauls,,"or Shúls, the",No
Shawánkára,Soncara,,No
Shaw,,R.B,No
Shawls of Kerman,,,No
Sheep,,fat-tailed in Kerman,No
Sheep,,—— four-horned at Shehr,No
Sheep,,—— large Indian,No
Sheep,,—— none in Manzi,No
Sheep,,—— of Pamir (/Ovis Poli/),No
Sheep,,"—— wild, of Badakhshan (Kachkar, /Ovis Vignei/)",No
Sheep,,—— with trucks behind,No
Sheep,,—— Zanghibar,No
Sheep’s head given to horses,,,No
Shehr,,"or Shihr, /see/ Esher",No
Shehrizor,Kerkuk,,No
Shenrabs,,,No
Shen-si,,,No
Shentseu tribe,,,No
Sheuping,,,No
Shewá,,cool plateau of,No
Shibrgán,Sapurgan,,Location
Shieng,,"Sheng, or Sing, the Supreme Board of Administration",No
Shieng,,"/Shien-sien/, /Shin-sien/",No
Shighnan,Syghinan,ruby mines,No
Shighnan ,,"/Shijarat Malayu/, or Malay Chronicle",No
Shikárgáh,,"applied to animal pattern textures, Benares brocades",No
Shing-king,,or Mukden,No
Ships,,of the Great Khan,No
Ships,,of India at Fuju,No
Ships,,of Manzi described,No
Ships,,"mediaeval, accounts of",No
Ships,,in Japan,No
Ships,,in Java Seas,No
Ships,,at Eli,No
Shíráz,Cerazi,,No
Shireghi,,,No
Shirha,,,No
Shirwan,,,No
Shi-tsung,,Emperor,Person
Shoa,,,No
Shob’aengs of Nicobar,,,No
Shodja ed-din Kurshid,,Kurd,No
Shor–Rud,Salt River,,Location
Shot of Military Engines,,,No
Shpilevsky,,,No
Shúlistán,Suolstan,,No
Shúls of Shauls,,people of Persia,No
Shut up nations,,legend of the,No
Shwéli ,,River,Location
Siam,,,Location
Siam,,king of,Location
Siang-yang-fu,Saianfu,,Location
Siang-yang-fu,,Kúblái’s siege of,Location
Siang-yang-fu,,Polo’s aid in taking,Location
Siang-yang-fu,,difficulties in Polo’s account,Location
Siang-yang-fu,,"not removed by Pauthier, notice by Wassáf, Chinese account",Location
Siang-yang-fu,,Rashiduddin’s,Location
Siang-yang-fu,,treasure buried,Location
Siberia,,,Location
Sibree,,on rofia palm,No
Sick men put to death and eaten by their friends,,,No
Sick men put to death and eaten by their friends,,"/Siclatoun/, kind of texture",No
Siddhárta,,,No
Sidi Ali,,,No
Sien,"Sien–Lo, Sien–Lo-Kok,Siam, Locac",,Location
Sifan,,,No
Sigatay,,/see/ Chagatai,Location
Sighelm,,envoy from King Alfred to India,Person
Si Hia,,language of Tangut,No
Si-hu,,Lake of Kinsay or Hang-chau,No
Sijistán,,,No
Siju,Suthsian,,No
Sikintinju,Kien-chow,,No
Silesia,,Mongol invasion of,Location
Silk,,called Ghellé (of Gilan),No
Silk,,manufacture at Yezd,No
Silk,,at Taianfu,No
Silk,,in Shan-si and Shen-si,No
Silk,,in Kenjanfu,No
Silk,,Cuncun,No
Silk,,Sindafu,No
Silk,,Kwei-chau,No
Silk,,Tasinfu,No
Silk,,Piju,No
Silk,,Pao-ying-Hien,No
Silk,,Nanghin,No
Silk,,Chinhiang-fu,No
Silk,,Chinginju,No
Silk,,Suju,No
Silk,,Vughin,No
Silk,,Kinsay,No
Silk,,Ghiuju,No
Silk,,—— cotton tree,No
Silk,,—— duty on,No
Silk,,—— and gold stuffs,No
Silk,,"—— stuffs and goods, Turcomania",No
Silk,,Georgia,No
Silk,,Baghdad,No
Silk,,Yezd,No
Silk,,Kerman,No
Silk,,Tenduc province,No
Silk,,Cambaluc,No
Silk,,Juju,No
Silk,,Sindafu,No
Silk,,Cacanfu,No
Silk,,Chinangli,No
Silk,,Suju,No
Silk,,Vughin,No
Silk,,Kinsay,No
Silk,,in animal patterns,No
Silk,,with Cheetas,No
Silk,,of Kelinfu,No
Silk,,with giraffes,No
Silk,,tent ropes,No
Silk,,bed furniture,No
Silk,,—— trade at Cambaluc,No
Silk,,at Kinsay,No
Silk,,—— worms,No
Silver chairs,,,No
Silver chairs,,—— imported into Malabar,No
Silver chairs,,Cambay,No
Silver chairs,,—— Island,No
Silver chairs,,—— mines at Baiburt,No
Silver chairs,,Gumish–Khánah,No
Silver chairs,,in Badakhshan,No
Silver chairs,,in N. Shansi,No
Silver chairs,,Yun-nan,No
Silver chairs,,Russian,No
Silver chairs,,—— plate in Chinese taverns,No
Simon,,Metropolitan of Fars,No
Simon,,—— Magus,No
Simúm,,effects of,No
Simurgh,,,No
Sinbad,,,Location
Sinbad,,his story of the diamonds,Location
Sinbad,,of the Rukh,Location
Sind,Sindhu–Sauvira,,No
Sindábúr,Goa,,Location
Sindachu,Siuen-hwa fu,,No
Sindafu,Chengtu-fu,,No
Sindhu–Sauvira,Sindh-Ságor,,No
Si-ngan fu,Kenjanfu,,No
Si-ngan fu ,,Christian inscription at,No
Singapore,,Singhapura,Location
Singkel,,,No
Singphos,,,No
Sings,,,No
Singtur,,Mongol Prince,Person
Singuyli ,Cranganor,,No
Sinhopala ,Accambale,king of Chamba,Person
Sinju,Si-ning fu,,No
Sinju ,,—— (Ichin-hien),No
Sinju-matu,,,No
Sínkalán,,"Sín-ul-Sín, Mahá-chin, or Canton",No
Sinope,,,No
Síráf,Kish,or Kais?),No
Sir-i-Chashma,,,No
Sirikol,,Lake and River,Location
Sírján ,Shirján,,No
Sis,,,No
Sístán,,,No
Sitting in air,,,No
Siu chau,,,No
Siuen-hwa-fu,,/see/ Sindachu,No
Siva,,,No
Sivas,,"Siwas, Sebaste, Sevasd (Savast)",No
Siwastán,,,No
Siwi,,gigantic cotton in,No
Sixtus V,,Pope,Person
Sixtus V,,"/Siya-gosh/, or lynx",Person
Siyurgutmish,,,No
Sladen,,Major,No
Slaves in Bengal,,,No
Sledges,,dog-,No
Sleeping-mats,,leather,No
Sluices of Grand Canal,,,No
Smith,,"G., Bishop of Hongkong",Person
Smith,,Major R.M,Person
Sneezing,,omen from,No
Socotra,Scotra,island of,Location
Socotra,,history of,Location
Socotra,,Christian Archbishop,Location
Socotra,,aloes of,Location
Soer,Suhar,,Location
Sofala,,trade to China from,Location
Sogoman Borcan,,see Sakya Muni,Person
Sol,,"Arbre, see Arbre",No
Soldaia,,"Soldachia, Sodaya (the Oriental Sudák)",No
Soldan,,a Melic,No
Soldurii,,trusty lieges of Celtic kings,No
Soli,,"Solli (/Chola/, or Tanjore), kingdom of",Location
Solomon,,"house of, in Abyssinia",No
Soltania,,Archbishop of (See Sultaniah.),No
Somnath ,Semenat,,Location
Somnath ,,gates of,Location
Sonagar-pattanam,,,Location
Soncara,Shawankára,,Location
Sender Bandi Davar,,see Sundara Pandi,Person
Sondur and Condur ,,,Location
Sorcerers,,sorceries of Pashai (Udyana),No
Sorcerers,,Kashmir,No
Sorcerers,,Lamas and Tibetans,No
Sorcerers,,—— Dagroian,No
Sorcerers,,Socotra (See also Conjurers.),No
Sornau,Shahr-i-Nau,Siam,No
Sotiates,,tribe of Aquitania,Location
Soucat,,,No
Southey,,/St. Romuald/,No
Spaan,,Ispahan,No
Sposk,,district,Location
Sposk,,/Spezerie/,LO+
Spice,,Spicery,No
Spice wood,,,No
Spices in China,,duty on,No
Spikenard,,,No
Spinello Aretini,,fresco by,No
Spirit drawings and spiritual flowers,,,No
Spirits haunting deserts,,,No
Spiritualism in China,,,No
Spittoons,,pocket,No
Spodium ,Spodos,,No
Sport and game,,,No
Sport and game,,in Shan-si,No
Sport and game,,Cachanfu,No
Sport and game,,Cuncun,No
Sport and game,,Acbalec Manzi,No
Sport and game,,Tibet,No
Sport and game,,Caindu,No
Sport and game,,Zardandan,No
Sport and game,,Mien,No
Sport and game,,Linju,No
Sport and game,,Cagu,No
Sport and game,,Nanghin,No
Sport and game,,Saianfu,No
Sport and game,,Ching-hiang-fu,No
Sport and game,,Chinginju,No
Sport and game,,Changan,No
Sport and game,,Kinsay,No
Sport and game,,Fuju,No
Sport and game,,Lambri,No
Sport and game,,Maabar,No
Sport and game,,Comari,No
Sport and game,,Eli,No
Springolds,,,No
Springs,,hot,No
Sprinkling of drink,,a Tartar rite,No
Squares at Kinsay,,,No
Sri–Thammarat,,,No
Sri–Vaikuntham,,,No
Sse River,,,LO
Stack,,"E., visits Kuh Banán",No
Star Chart,,,No
Star of Bethlehem,,traditions about,No
Steamers on Yangtse-kiang,,,No
Steel mines at Kermán,,,No
Steel mines at Kermán,,in Chingintalas,No
Steel mines at Kermán,,Indian,No
Steel mines at Kermán,,Asiatic view of,No
Stefani,,Signor,No
Stein,,"Dr. M.A., on Sorcery in Kashmir",Person
Stein,,on Paonano Pao,Person
Stein,,on Pamirs,Person
Stein,,on site of Pein,Person
Stiens of Cambodia,,,No
Stirrups,,short and long,No
Stitched vessels,,,No
Stockade erected by Polo’s party in Sumatra,,,No
Stone,,"miracle of the, at Samarkand",No
Stone,,—— the green,No
Stone,,—— towers in Chinese cities,No
Stone,,—— umbrella column,No
Stones giving invulnerability,,,No
Suákin,,,No
Submersion of part of Ceylon,,,No
Subterraneous irrigation,,,No
Suburbs of Cambaluc,,,No
Subutai,,Mongol general,Person
Su-chau ,Suju,,Person
Su-chau,,plan of,Person
Suchnan ,,River,Location
Sudarium,,the Holy,No
Súddhodhana,,,No
Sugar,,Bengal,No
Sugar,,manufactured,No
Sugar,,art of refining,No
Sugar,,of Egypt and China,No
Suh-chau,Sukchur,,No
Suicides before an idol,,,No
Sukchur,,province Sukkothai,Location
Sukkothai,,,No
Sukkothai,,"/Suklát/, broadcloth",No
Sukum Kala’,,,No
Suleiman,,Sultan,Person
Sulphur and quicksilver,,potion of longevity,No
Sultaniah,,Monument at (/See/ Soltania.),No
Sultan Shah,,of Badakhshan,Person
Sumatra,Java the Less,,Location
Sumatra ,,"described, its kingdoms",Location
Sumatra ,,circuit,Location
Sumatra,,Samudra,Location
Sumatra,,city and kingdom of (Samara for Samatva),Location
Sumatra,,legend of origin,Location
Sumatra,,Ibn Batuta there,Location
Sumatra,,its position,Location
Sumatra,,latest mention of,Location
Sumatra,,wine-pots,Location
Sumbawa,,,No
Summers,,Professor,Person
Sumutala,Sumuntala, /see/ Sumatra,Location
Sun and moon,,trees of the,No
Sundara Pandi Devar,,"Sondar Bandi Davar, king in Ma’bar",Person
Sundara Pandi Devar,,his death,Person
Sundara Pandi Devar,,Dr. Caldwell’s views about,Person
Sundar Fúlát ,,,Person
Sung,,a native dynasty reigning in S. China till Kúblái’s conquest,Person
Sung,,"their paper-money, effeminacy",Person
Sung,,cremation,Person
Sung,,Kúblái’s war against,Person
Sung,,end of them,Person
Sunnis and Shias,,,No
Suolstan,Shulistan,a kingdom in Persia,Location
Superstitions in Tangut,,the devoted sheep or ram (/Tengri Tockho/),No
Superstitions in Tangut,,the dead man’s door,No
Superstitions in Tangut,,as to chance shots,No
Superstitions in Tangut,,in Carajan,No
Superstitions in Tangut,,devil-dancing,No
Superstitions in Tangut,,property of the dead,No
Superstitions in Tangut,,Sumatran,No
Superstitions in Tangut,,Malabar,No
Superstitions in Tangut,,as to omens,No
Sur–Raja,,,No
Survival,,instances of,No
Sushun,,"Regent of China, execution of",Person
Su-tásh,,the Jadek,No
Suttees in S. India,,,No
Suttees in S. India,,of men,No
Suttees in S. India,,"/Svastika/, sacred symbol of the Bonpos",No
Swans,,"wild, at Chagan–Nor",No
Swat,,,No
Swat,,—— River,Location
Swi-fu,,,No
Sword blades of India,,,No
Syghinan,,/see/ Shighnan,No
Sykes,,Major P. Molesworth,No
Sylen,Ceylon,,No
Symbolical messages,,Scythian and Tartar,No
Syrian Christians,,,No
Syrian Christians,,"/Syrrhaptes Pallasii, see/ Barguerlac",No
Szechényi,,Count,No
Sze-ch’wan ,Ch’eng-tu,,No
Sze-ch’wan,,aborigines,No
Sze-ch’wan,,,No
Tabashir,,,No
Tabbas,,,No
Table of the Great Khan,,,No
Tables,,how disposed at Mongol feasts,No
